1,2006-01-03 00:00:00.000,2006-01-11 03:22:44.587,472,
2,2006-01-04 02:22:41.473,2006-02-01 04:15:34.590,388,
3,2006-01-04 05:33:01.150,2006-02-14 13:45:02.580,279,
4,2006-01-04 22:06:58.657,2006-02-08 22:06:14.247,309,
5,2006-01-05 11:37:45.597,2006-02-10 20:01:26.540,757,
6,2006-01-06 23:53:14.320,2006-01-28 22:48:05.997,493,
7,2006-01-08 08:06:33.210,2006-02-05 08:41:58.453,209,
8,2006-01-08 13:04:13.613,2006-02-17 06:43:18.010,649,
9,2006-01-08 21:46:03.093,2006-01-27 04:05:01.967,597,
10,2006-01-09 20:33:07.380,2006-02-20 15:50:04.133,736,
11,2006-01-10 22:30:44.333,2006-01-18 16:58:10.810,329,
12,2006-01-11 07:07:04.857,2006-01-22 06:35:09.463,52,
13,2006-01-12 08:26:56.003,2006-02-14 08:29:13.357,234,
14,2006-01-12 20:04:00.520,2006-01-26 07:41:54.077,772,
15,2006-01-13 10:40:06.230,2006-02-20 22:35:30.680,47,
16,2006-01-14 19:16:21.017,2006-01-29 06:10:39.053,152,
17,2006-01-16 02:51:19.570,2006-01-20 15:20:48.917,394,
18,2006-01-16 04:14:09.617,2006-02-06 17:28:18.077,746,
19,2006-01-16 18:00:24.947,2006-01-24 00:14:17.590,251,
20,2006-01-17 06:36:28.483,2006-01-24 09:16:52.420,529,
21,2006-01-17 21:40:27.230,2006-01-31 10:29:56.403,240,
22,2006-01-17 23:41:13.490,2006-02-15 06:11:16.560,151,
23,2006-01-18 04:55:24.700,2006-02-23 08:09:50.950,191,
24,2006-01-18 10:25:12.753,2006-02-21 04:13:55.043,380,
25,2006-01-18 19:01:45.203,2006-02-08 22:40:29.250,231,
26,2006-01-19 20:57:26.720,2006-01-22 09:50:39.787,696,
27,2006-01-20 20:55:59.917,2006-01-28 07:52:38.577,306,
28,2006-01-22 05:27:46.730,2006-02-01 06:18:08.743,37,
29,2006-01-22 12:53:57.047,2006-02-27 23:13:22.683,461,
30,2006-01-23 02:44:11.657,2006-02-02 06:55:18.820,346,
31,2006-01-23 08:44:41.630,2006-01-27 09:28:14.723,98,
32,2006-01-23 22:49:36.360,2006-02-22 06:20:10.017,453,
33,2006-01-24 21:10:59.690,2006-02-20 02:41:36.553,754,
34,2006-01-26 09:30:38.930,2006-03-09 07:18:46.153,179,
35,2006-01-26 17:04:34.153,2006-03-13 01:59:56.823,388,
36,2006-01-27 00:07:16.297,2006-03-09 15:39:40.610,48,
37,2006-01-27 20:24:42.927,2006-02-14 02:26:05.553,720,
38,2006-01-28 17:33:54.210,2006-03-17 21:29:35.803,74,
39,2006-01-29 17:25:14.050,2006-03-19 18:56:42.147,682,
40,2006-01-31 00:42:49.900,2006-03-10 11:46:36.543,136,
41,2006-01-31 22:56:49.770,2006-02-28 21:17:42.100,514,
42,2006-02-02 04:06:09.633,2006-03-19 09:27:05.687,281,
43,2006-02-03 02:38:23.900,2006-02-21 19:46:17.640,196,
44,2006-02-04 08:28:26.760,2006-03-14 12:35:34.020,683,
45,2006-02-04 17:41:30.297,2006-02-06 23:41:36.107,459,
46,2006-02-05 18:35:00.007,2006-03-03 00:10:54.847,155,
47,2006-02-06 23:37:41.030,2006-02-21 18:24:33.890,323,
