1	1	76	2	.0000
2	1	77	3	.0000
3	1	78	6	.0000
4	1	71	5	.0000
5	1	72	4	.0000
6	2	73	2	.0000
7	3	74	3	.0000
8	4	14	3	.0000
9	5	16	1	.0000
10	5	9	5	.0000
11	5	12	3	.0000
12	5	11	6	.0000
13	5	62	3	.0000
14	5	58	4	.0000
15	6	45	4	.0000
16	7	43	3	.0000
17	8	47	3	.0000
18	8	12	6	.0000
19	8	15	5	.0000
20	8	42	4	.0000
21	8	75	4	.0000
22	8	78	5	.0000
23	8	11	6	.0000
24	8	41	3	.0000
25	8	76	2	.0000
26	9	73	2	.0000
27	9	16	6	.0000
28	9	77	5	.0000
29	9	8	5	.0000
30	9	64	2	.0000
31	9	70	2	.0000
32	9	30	2	.0000
33	9	54	6	.0000
34	9	25	3	.0000
35	9	62	6	.0000
36	9	65	1	.0000
37	9	68	5	.0000
38	9	53	4	.0000
39	9	56	3	.0000
40	9	63	3	.0000
41	9	32	5	.0000
42	9	58	2	.0000
43	9	29	3	.0000
44	9	22	1	.0000
45	9	49	4	.0000
46	9	60	3	.0000
47	9	26	6	.0000
48	9	33	4	.0000
49	9	38	4	.0000
50	9	66	6	.0000
51	9	55	4	.0000
52	9	60	1	.0000
53	9	72	2	.0000
54	9	75	1	.0000
55	9	14	4	.0000
56	9	16	4	.0000
57	9	77	1	.0000
58	9	71	4	.0000
59	9	73	6	.0000
60	9	78	3	.0000
61	9	11	3	.0000
62	9	73	2	.0000
63	9	7	5	.0000
64	9	15	6	.0000
65	9	77	3	.0000
66	9	12	3	.0000
67	9	75	6	.0000
68	9	78	4	.0000
69	9	9	1	.0000
70	9	76	5	.0000
71	9	64	2	.0000
72	9	53	4	.0000
73	9	32	2	.0000
74	9	56	5	.0000
75	9	68	2	.0000
76	9	66	1	.0000
77	9	10	4	.0000
78	9	73	3	.0000
79	9	78	3	.0000
80	9	75	2	.0000
81	10	56	4	.0000
82	10	53	3	.0000
83	10	60	5	.0000
84	10	65	3	.0000
85	10	15	3	.0000
86	10	30	3	.0000
87	10	7	2	.0000
88	10	11	1	.0000
89	10	54	4	.0000
90	10	12	3	.0000
91	10	29	2	.0000
92	10	55	2	.0000
93	10	61	3	.0000
94	10	70	2	.0000
95	10	26	3	.0000
96	10	64	2	.0000
97	10	66	2	.0000
98	10	25	2	.0000
99	10	16	4	.0000
100	10	68	3	.0000
101	10	32	1	.0000
102	10	58	5	.0000
103	10	62	6	.0000
104	10	38	4	.0000
105	10	14	5	.0000
106	10	22	5	.0000
107	10	8	6	.0000
108	10	33	5	.0000
109	10	63	4	.0000
110	11	47	1	.0000
111	12	10	1	.2200
112	12	9	5	.1100
113	12	73	6	.0600
114	12	76	5	.0800
115	13	53	4	.0000
116	13	14	2	.0000
117	13	56	5	.0000
118	13	68	1	.0000
119	13	32	4	.0000
120	13	63	5	.0000
121	13	55	5	.0000
122	13	64	2	.0000
123	13	16	1	.0000
124	13	11	3	.0000
125	13	8	3	.0000
126	14	9	5	.0000
127	14	76	2	.0000
128	14	74	4	.0000
129	15	54	2	.2600
130	15	15	1	.2700
131	15	29	4	.4000
132	15	61	3	.1200
133	15	62	5	.2100
134	15	38	4	.0600
135	15	70	6	.0000
136	15	12	2	.2600
137	15	8	4	.1100
138	15	11	3	.3200
139	15	7	3	.2300
140	16	58	6	.0000
141	17	61	6	.0000
142	17	11	2	.0000
143	17	38	5	.0000
144	17	8	6	.0000
145	17	62	2	.0000
146	17	58	2	.0000
147	17	12	4	.0000
148	17	54	3	.0000
149	17	15	3	.0000
150	18	76	2	.2300
151	18	78	2	.3700
152	18	10	3	.2200
153	18	75	3	.2800
154	18	9	2	.1800
155	19	15	4	.0000
156	19	53	6	.0000
157	19	58	2	.0000
158	19	70	1	.0000
159	19	8	4	.0000
160	19	60	3	.0000
161	19	65	5	.0000
162	19	63	1	.0000
163	19	12	5	.0000
164	19	7	4	.0000
165	19	54	6	.0000
166	19	29	2	.0000
167	20	60	5	.0000
168	20	38	4	.0000
169	20	65	1	.0000
170	20	32	4	.0000
171	20	62	1	.0000
172	20	61	6	.0000
173	20	12	3	.0000
174	20	8	5	.0000
175	20	29	3	.0000
176	20	56	6	.0000
177	20	25	2	.0000
178	20	16	5	.0000
179	20	70	5	.0000
180	20	58	3	.0000
181	20	15	4	.0000
182	20	54	6	.0000
183	20	55	1	.0000
